year,Mitte,Friedrichshain-Kreuzberg,Pankow,Charlottenburg-Wilmersdorf,Spandau,Steglitz-Zehlendorf,Tempelhof-Schöneberg,Neukölln,Treptow-Köpenick,Marzahn-Hellersdorf,Lichtenberg,Reinickendorf,Berlin
1991,341178,262815,301746,331170,218614,288555,344984,310726,212535,291203,286687,253362,3443575
1992,344622,261959,303443,329491,218896,288921,345570,312977,213412,297998,285961,253641,3456891
1993,344585,262434,305204,328481,217458,290122,346242,314123,215014,298115,284850,254793,3461421
1994,340777,261552,306735,324011,217148,289798,344917,314503,215392,297207,285944,254300,3452284
1995,338770,259245,308042,321828,218113,290322,343050,314706,215595,295281,285528,255559,3446039
1996,335191,256223,311584,318898,218184,290565,341432,312166,218125,290229,280892,255155,3428644
1997,327095,250029,315253,315268,218170,288591,337593,308466,221996,279233,273794,252413,3387901
1998,321232,245168,319688,314377,217086,286893,334833,306387,225197,270806,267432,249136,3358235
1999,317517,243330,324807,312517,215693,285700,334009,304975,227477,265533,261012,248317,3340887
2000,316335,243977,329586,310614,215997,285378,333529,303341,228852,261191,255899,246533,3331232
2001,318082,245712,334086,310760,217383,285585,333489,303881,230967,256089,254691,246507,3337232
2002,318683,247508,337466,309487,218267,285074,331949,303932,230533,252802,253754,246793,3336248
2003,315665,249267,339608,308855,218093,285007,330514,303199,231514,249676,252267,246577,3330242
2004,316047,252069,342863,308541,218010,285501,329059,302171,232586,248561,251202,246498,3333108
2005,318276,255181,345953,308902,217461,285580,327765,302129,233094,247572,252401,245122,3339436
2006,322167,259071,350057,309421,216936,285817,326842,301733,234313,247130,252042,243276,3348805
2007,323021,260437,354558,310064,215927,286970,325951,302797,234979,246193,250811,242150,3353858
2008,323303,262251,356933,310763,215939,288060,326867,305517,236082,244637,251059,241432,3362843
2009,327082,259967,354711,312256,215444,289718,328097,307650,237753,244165,251626,241203,3369672
2010,326650,261090,360017,312340,218094,291700,329245,307204,239374,246225,253539,242084,3387562
2011,333152,265361,365021,314911,220645,293692,329361,313245,241487,249232,256280,244727,3427114
2012,339974,269471,370937,319289,223305,295746,328428,318356,243844,251879,260505,247887,3469621
2013,348102,273517,377532,322870,226868,298200,331822,322153,245951,254226,264858,251325,3517424
2014,356506,275691,384367,326354,230419,299268,335767,325716,249440,256173,268465,254000,3562166
2015,363236,278393,389976,330468,234630,299765,341161,328062,253333,259373,275142,256617,3610156
2016,371407,281323,397406,336249,239942,304086,346108,327522,259524,262015,283121,261919,3670622
2017,377965,283974,402289,338831,242143,307076,348739,329387,264999,266684,286246,263597,3711930
2018,383457,289120,407039,341327,243080,308077,351429,330786,269775,268739,290493,264826,3748148
2019,385748,290386,409335,343592,245197,310071,350984,329917,273689,269967,294201,266408,3769495